Day,Month,Year,"VLSFO Fuel Oil, IMO 2020 Grade, 0.5%",Marine Gas Oil,"Intermdiate Fuel Oil, 180cSt","Intermdiate Fuel Oil, 380cSt"
01/28/2022,January,2022,703.00,839.5,,555.5
01/31/2022,January,2022,706.00,841,,557.5
02/01/2022,February,2022,705.00,840.5,,559
02/02/2022,February,2022,708.00,843.5,,556
02/03/2022,February,2022,717.00,845.5,,557.5
02/04/2022,February,2022,731.50,853.5,,563.5
02/07/2022,February,2022,734.00,867.5,,565.5
02/08/2022,February,2022,,,,
02/09/2022,February,2022,,,,
02/10/2022,February,2022,,,,
02/11/2022,February,2022,,,,
